symbol,reported_date,methodology,outlook_sentiment_score,source_speaker,sentence_count,outlook_sentiment_zscore
AAPL,2024-02-01,FinBERT,0.36175693616435206,CFO,75,-0.07701843342764247
AAPL,2024-05-02,FinBERT,0.3487513033110129,CFO,69,-0.13862784195597197
AAPL,2024-08-01,FinBERT,0.40612813217669136,CFO,59,0.13317380964439912
AAPL,2024-10-31,FinBERT,0.48658052013168857,CFO,58,0.5142874465195533
ACN,2024-03-21,FinBERT,0.29652186720536006,CFO,22,-0.3860456110506361
ACN,2024-06-20,FinBERT,0.29102042609633044,CFO,23,-0.4121066675638322
ACN,2024-09-26,FinBERT,0.4468594163415588,CFO,138,0.3261233073193627
ACN,2024-12-19,FinBERT,0.412656547058006,CFO,27,0.16409977718484609
ADBE,2024-03-14,FinBERT,0.0,None,0,-1.7907090411387527
ADBE,2024-06-13,FinBERT,0.660800903959016,CFO,45,1.339592521806555
ADBE,2024-09-12,FinBERT,0.37983601363913083,CEO,11,0.00862455546182079
ADBE,2024-12-11,FinBERT,0.14397041100476468,CFO,20,-1.1087021009453952
ADP,2024-01-31,FinBERT,0.5103290440359464,CFO,45,0.626787355417609
ADP,2024-05-01,FinBERT,0.24617149215656683,CFO,36,-0.6245620185885641
ADP,2024-07-31,FinBERT,0.23883071802333108,CFO,28,-0.659336239696351
ADP,2024-10-30,FinBERT,0.5162604912841007,CFO,34,0.6548854080688454
AMAT,2024-02-15,FinBERT,0.5486873560131095,CFO,57,0.8084957689725404
AMAT,2024-05-16,FinBERT,0.5630242094930938,CFO,55,0.8764113462473808
AMAT,2024-08-15,FinBERT,0.6469367848791427,CFO,51,1.27391635011161
AMAT,2024-11-14,FinBERT,0.5164226338742239,CFO,45,0.655653499032768
AMD,2024-01-30,FinBERT,0.22168292776771395,CFO,49,-0.7405675974572445
AMD,2024-04-30,FinBERT,0.37441890794735133,CFO,41,-0.01703699298949459
AMD,2024-07-30,FinBERT,0.4415409645662388,CFO,48,0.3009290955605877
AMD,2024-10-29,FinBERT,0.46718300148515274,CFO,42,0.42239882685707497
AME,2024-02-06,FinBERT,0.36779931618208156,CFO,33,-0.04839487752739018
AME,2024-05-02,FinBERT,0.6842189554901507,CEO,93,1.4505269392231375
AME,2024-08-01,FinBERT,0.4116549494113037,CEO,92,0.15935507623160874
AME,2024-10-31,FinBERT,0.5632217685723865,CEO,107,0.8773472098198709
AVGO,2024-03-07,FinBERT,0.22847372774996763,CFO,47,-0.7083986768780801
AVGO,2024-06-12,FinBERT,0.08684028105881418,CFO,46,-1.3793351070288267
AVGO,2024-09-05,FinBERT,0.13658847172240368,CFO,48,-1.1436713268267436
AVGO,2024-12-12,FinBERT,0.3807554700787631,CEO,134,0.012980142617947778
AXON,2024-02-27,FinBERT,0.8399889136397879,CFO,29,2.18842989990973
AXON,2024-05-06,FinBERT,0.6124221572753077,CFO,69,1.1104159794470732
AXON,2024-08-06,FinBERT,0.8791011568039743,CFO,31,2.3737097855358296
AXON,2024-11-07,FinBERT,0.5173148285738095,CFO,39,0.6598799437089659
BA,2024-01-31,FinBERT,0.46728418702328883,CFO,103,0.4228781561774152
BA,2024-04-24,FinBERT,0.42066199199278204,CFO,80,0.20202263207391316
BA,2024-07-31,FinBERT,0.29203881628196593,CFO,91,-0.407282418125486
BA,2024-10-23,FinBERT,0.21718091638895737,CFO,11,-0.7618942227249869
CARR,2024-02-06,FinBERT,0.2665260615530652,CFO,94,-0.5281397225335798
CARR,2024-04-25,FinBERT,0.3312427797920953,CFO,93,-0.22156804105039024
CARR,2024-07-25,FinBERT,0.3082440245696085,CFO,80,-0.3305161962169762
CARR,2024-10-24,FinBERT,0.3219572161089112,CFO,188,-0.265554988308111
CAT,2024-02-05,FinBERT,0.1750304660656386,CFO,8,-0.9615664988000157
CAT,2024-04-25,FinBERT,0.08442309785421957,CFO,10,-1.3907856246021757
CAT,2024-08-06,FinBERT,0.14994483831213545,CFO,26,-1.080400446050677
CAT,2024-10-30,FinBERT,-0.07894245022402158,CFO,111,-2.164669902630421
CMI,2024-02-06,FinBERT,0.2962031709329294,CFO,72,-0.38755531758057205
CMI,2024-05-02,FinBERT,0.1341720737914649,CFO,52,-1.155118124454588
CMI,2024-08-01,FinBERT,0.07965996427540663,CFO,54,-1.4133492203795814
CMI,2024-11-05,FinBERT,0.10365534912029556,CFO,59,-1.2996798984500693
CPRT,2024-02-22,FinBERT,0.0,None,0,-1.7907090411387527
CPRT,2024-05-16,FinBERT,0.0,None,0,-1.7907090411387527
CPRT,2024-09-12,FinBERT,0.03397172173541604,CEO,9,-1.6297804876104554
CPRT,2024-11-21,FinBERT,0.0,None,0,-1.7907090411387527
CRM,2024-02-28,FinBERT,0.4815090216009873,CEO,177,0.49026308504847144
CRM,2024-05-29,FinBERT,0.7285880769795462,CFO,22,1.6607093550047285
CRM,2024-08-28,FinBERT,0.569065883839103,CFO,52,0.9050315592870588
CRM,2024-12-03,FinBERT,0.5065259485675812,CFO,75,0.6087715875557173
CSCO,2024-02-14,FinBERT,0.42855788046490223,CFO,56,0.23942650346246175
CSCO,2024-05-15,FinBERT,0.2548458840651695,CFO,57,-0.5834702731226965
CSCO,2024-08-14,FinBERT,0.3616603913117719,CFO,66,-0.0774757792047371
CSCO,2024-11-13,FinBERT,0.3537215767907319,CFO,76,-0.11508299698282556
CSX,2024-01-24,FinBERT,0.0,None,0,-1.7907090411387527
CSX,2024-04-17,FinBERT,0.5374778950744766,CFO,37,0.7553950651361045
CSX,2024-08-05,FinBERT,0.4204866336901776,CFO,43,0.2011919365263898
CSX,2024-10-16,FinBERT,0.38038431488529145,CFO,30,0.011221931218328386
CTAS,2024-03-27,FinBERT,0.021190355883883093,CFO,31,-1.6903275135935052
CTAS,2024-07-18,FinBERT,0.28983638648562815,CFO,47,-0.41771562030854636
CTAS,2024-09-25,FinBERT,0.280200215273227,CFO,54,-0.46336344195386703
CTAS,2024-12-19,FinBERT,-0.18202852205756834,CFO,10,-2.653002303275045
DE,2024-02-15,FinBERT,0.6091984344269235,CFO,14,1.0951447765623
DE,2024-05-16,FinBERT,0.2582278340457154,CFO,96,-0.5674495273179021
DE,2024-08-15,FinBERT,0.2183124638685669,CEO,171,-0.7565339321703779
DE,2024-11-21,FinBERT,-0.25650939830946323,CFO,76,-3.0058280968597684
EMR,2024-02-07,FinBERT,0.5881513634980735,CFO,47,0.9954420088613557
EMR,2024-05-08,FinBERT,0.2873336490090217,CFO,64,-0.42957141982051084
EMR,2024-08-07,FinBERT,0.41960313007928224,CFO,45,0.19700666269052797
EMR,2024-11-05,FinBERT,0.3505818100287849,CFO,44,-0.12995648874611163
ETN,2024-02-01,FinBERT,0.6295135810063597,CFO,125,1.1913803215018939
ETN,2024-04-30,FinBERT,0.6602958337533528,CFO,88,1.337199937225159
ETN,2024-08-01,FinBERT,0.6609527124562768,CFO,86,1.3403116588013697
ETN,2024-10-31,FinBERT,0.32814352431340943,CFO,50,-0.23624962548947412
FAST,2024-01-18,FinBERT,0.23791025056987283,CFO,52,-0.663696616159122
FAST,2024-04-11,FinBERT,0.0,None,0,-1.7907090411387527
FAST,2024-07-12,FinBERT,0.10249458774695966,CFO,47,-1.3051785790956172
FAST,2024-10-11,FinBERT,-0.06906887132208794,CEO,14,-2.117897449258439
FDX,2024-03-21,FinBERT,0.49413197876056447,CFO,59,0.5500597080386646
FDX,2024-06-25,FinBERT,0.26660966654149254,CFO,39,-0.5277436746099522
FDX,2024-09-19,FinBERT,0.4079847823341562,CFO,49,0.14196900779702648
FDX,2024-12-19,FinBERT,0.3194874854307174,CFO,74,-0.27725443023636154
GD,2024-01-24,FinBERT,0.369143882178317,CFO,132,-0.04202548999434894
GD,2024-04-24,FinBERT,0.39988603860188227,CFO,107,0.10360418412450478
GD,2024-07-24,FinBERT,0.16411606618367353,CFO,61,-1.0132694592597131
GD,2024-10-23,FinBERT,0.2843841488075436,CEO,158,-0.4435435936406106
GE,2024-01-23,FinBERT,0.5444077546484064,CFO,153,0.7882227294526917
GE,2024-04-23,FinBERT,0.6102197579371513,CFO,75,1.0999829215484596
GE,2024-07-23,FinBERT,0.5919624530377382,CFO,68,1.013495645699717
GE,2024-10-22,FinBERT,0.4582765025956252,CFO,74,0.3802075598245651
GEV,2024-02-28,FinBERT,0.0,None,0,-1.7907090411387527
GEV,2024-04-25,FinBERT,0.6642417153357734,CFO,69,1.355892101855452
GEV,2024-07-24,FinBERT,0.7374095790801599,CFO,31,1.70249798097003
GEV,2024-10-23,FinBERT,0.6341282408929271,CEO,163,1.2132405776983335
GWW,2024-02-02,FinBERT,0.4720159425413796,CFO,108,0.44529310991766186
GWW,2024-04-25,FinBERT,0.20900266608267112,CFO,61,-0.8006356795882382
GWW,2024-08-01,FinBERT,0.432451788692412,CFO,66,0.25787246341425907
GWW,2024-10-31,FinBERT,0.34646700642236183,CFO,64,-0.14944885941816813
HON,2024-02-01,FinBERT,0.6139387372425382,CFO,125,1.1176002199850488
HON,2024-04-25,FinBERT,0.49692777372552455,CFO,76,0.5633037597584121
HON,2024-07-25,FinBERT,0.46330055669852,CFO,111,0.40400717074578263
